Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
io.bootique.run.DefaultRunnerIT::testRun_Implicit_HelpRedefined()V	649	0
io.bootique.run.DefaultRunnerIT::testRun_Implicit_Default_NoModuleCommands()V	649	0
io.bootique.resource.ResourceFactoryTest::testGetCanonicalFile()V	827	0
io.bootique.resource.ResourceFactoryTest::testGetUrl_File()V	998	0
io.bootique.resource.ResourceFactoryTest::testGetUrl_File_DotSlash()V	998	0
io.bootique.resource.ResourceFactoryTest::testGetUrl_FileUrl()V	999	0
io.bootique.resource.ResourceFactoryTest::testGetUrl_JarUrl()V	1000	0
io.bootique.resource.ResourceFactoryTest::testGetUrl_ClasspathUrl()V	998	0
io.bootique.resource.ResourceFactoryTest::testGetUrl_ClasspathUrlWithSlash()V	816	0
io.bootique.resource.ResourceFactoryTest::testGetUrls_ClasspathUrl()V	858	0
io.bootique.resource.ResourceFactoryTest::testGetUrls_File()V	858	0
io.bootique.resource.FolderResourceFactoryTest::testGetUrl_RootClasspathUrl_Slash()V	674	0
io.bootique.resource.FolderResourceFactoryTest::testGetUrl_RootClasspathUrl_NoSlash()V	674	0
io.bootique.resource.FolderResourceFactoryTest::testGetUrl_Subresource_RootClasspathUrl()V	998	0
io.bootique.resource.FolderResourceFactoryTest::testGetUrl_Subresource_ClasspathUrl()V	998	0
io.bootique.resource.FolderResourceFactoryTest::testGetUrl_Subresource_FileProtocolUrl()V	1007	0
io.bootique.resource.FolderResourceFactoryTest::testGetUrl_Exception_InvalidScheme()V	1005	0
io.bootique.resource.FolderResourceFactoryTest::testGetUrl_Subresource_ReverseSlashes()V	1005	0
io.bootique.resource.ResourceFactory_WebConfigSourceIT::testReadConfig_HttpUrl()V	998	0
io.bootique.Bootique_Configuration_VarsIT::testOverrideValue()V	918	1
io.bootique.Bootique_Configuration_VarsIT::testOverrideValueArray()V	916	1
io.bootique.Bootique_Configuration_VarsIT::testDeclareVar_ConfigPathCaseSensitivity()V	919	1
io.bootique.Bootique_Configuration_VarsIT::testDeclareVar_NameCaseSensitivity()V	600	1
io.bootique.BootiqueUtilsTest::testToArray()V	860	0
io.bootique.BootiqueUtilsTest::testMergeArrays()V	857	0
io.bootique.BootiqueExceptionsHandlerIT::testCli_BadOption()V	962	0
io.bootique.BootiqueExceptionsHandlerIT::testCli_TwoCommands()V	963	0
io.bootique.BootiqueExceptionsHandlerIT::testConfig_FileNotFound()V	962	0
io.bootique.BootiqueExceptionsHandlerIT::testConfig_BadUrl()V	963	0
io.bootique.BootiqueExceptionsHandlerIT::testConfig_BadUrlProtocol()V	963	0
io.bootique.BootiqueExceptionsHandlerIT::testDI_ProviderMethodBqException()V	963	0
io.bootique.BootiqueExceptionsHandlerIT::testDI_ProviderMethodNPException()V	965	0
io.bootique.BootiqueExceptionsHandlerIT::testModules_CircularOverrides()V	963	0
io.bootique.BootiqueExceptionsHandlerIT::testModules_MultipleOverrides()V	962	0
io.bootique.BootiqueExceptionsHandlerIT::testDI_TwoCommandsSameName()V	964	0
io.bootique.jopt.JoptCliFactoryTest::testGet_HasOption()V	1446	0
io.bootique.jopt.JoptCliFactoryTest::testOptionStrings_Short()V	1562	0
io.bootique.jopt.JoptCliFactoryTest::testOptionStrings_Long_Equals()V	1562	0
io.bootique.jopt.JoptCliFactoryTest::testOptionStrings_Long_Space()V	1562	0
io.bootique.jopt.JoptCliFactoryTest::testOptionStrings_Single_Mixed()V	1562	0
