<io.bootique.run.DefaultRunnerTest: void testRun()>/io.bootique.command.Command.run/2	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun()>	82	<io.bootique.run.DefaultRunnerTest: void testRun()>/$stack43
<io.bootique.run.DefaultRunnerTest: void testRun()>/io.bootique.command.Command.run/3	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun()>	83	<io.bootique.run.DefaultRunnerTest: void testRun()>/$stack48
<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>	100	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/$stack33
<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>	101	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/$stack38
<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/io.bootique.command.Command.run/2	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>	102	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/$stack43
<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/io.bootique.command.Command.run/3	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>	103	<io.bootique.run.DefaultRunnerTest: void testRun_ReverseOrder()>/$stack48
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>	134	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/$stack34
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>	135	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/$stack39
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/io.bootique.command.Command.run/2	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>	136	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/$stack43
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/io.bootique.command.Command.run/3	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>	137	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Default()>/$stack48
