Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.maven.project.AbstractMavenProjectTestCase::tearDown()V	4	0
org.apache.maven.project.ExtensionDescriptorBuilderTest::setUp()V	2	0
org.apache.maven.project.ExtensionDescriptorBuilderTest::tearDown()V	2	0
org.apache.maven.project.ExtensionDescriptorBuilderTest::testEmptyDescriptor()V	177	0
org.apache.maven.project.ExtensionDescriptorBuilderTest::testCompleteDescriptor()V	175	0
org.apache.maven.project.harness.Xpp3DomNodeIterator::testNode(Lorg/codehaus/plexus/util/xml/Xpp3Dom;)Z	14	1
org.apache.maven.project.MavenProjectTest::testShouldInterpretChildPathAdjustmentBasedOnModulePaths()V	444	0
org.apache.maven.project.MavenProjectTest::testIdentityProtoInheritance()V	33	13
org.apache.maven.project.MavenProjectTest::testEmptyConstructor()V	23	0
org.apache.maven.project.MavenProjectTest::testClone()V	1108	3
org.apache.maven.project.MavenProjectTest::testCloneWithDependencyManagement()V	1117	3
org.apache.maven.project.MavenProjectTest::testGetModulePathAdjustment()V	45	0
org.apache.maven.project.MavenProjectTest::testCloneWithDistributionManagement()V	1108	0
org.apache.maven.project.MavenProjectTest::testCloneWithActiveProfile()V	1108	0
org.apache.maven.project.MavenProjectTest::testCloneWithBaseDir()V	1108	0
org.apache.maven.project.MavenProjectTest::testUndefinedOutputDirectory()V	33	0
org.apache.maven.project.MavenProjectTest::testAddDotFile()V	431	0
org.apache.maven.project.PomConstructionTest::setUp()V	449	0
org.apache.maven.project.PomConstructionTest::tearDown()V	4	0
org.apache.maven.project.PomConstructionTest::testEmptyUrl()V	823	0
org.apache.maven.project.PomConstructionTest::testProfileModules()V	832	0
org.apache.maven.project.PomConstructionTest::testParentInheritance()V	823	0
org.apache.maven.project.PomConstructionTest::testExecutionConfigurationJoin()V	831	0
org.apache.maven.project.PomConstructionTest::testPluginConfigProperties()V	830	0
org.apache.maven.project.PomConstructionTest::testProfilePropertiesInterpolation()V	830	0
org.apache.maven.project.PomConstructionTest::testThatExecutionsWithoutIdsAreMergedAndTheChildWins()V	831	0
org.apache.maven.project.PomConstructionTest::testDuplicateExclusionsDependency()V	831	0
org.apache.maven.project.PomConstructionTest::testMultipleFilters()V	831	0
org.apache.maven.project.PomConstructionTest::testDuplicateDependenciesCauseLastDeclarationToBePickedInLenientMode()V	830	0
org.apache.maven.project.PomConstructionTest::testParentInterpolation()V	832	0
org.apache.maven.project.PomConstructionTest::testPluginManagementInherited()V	830	0
org.apache.maven.project.PomConstructionTest::testPluginManagementDependencies()V	830	0
org.apache.maven.project.PomConstructionTest::testReportingInterpolation()V	831	0
org.apache.maven.project.PomConstructionTest::testPluginOrder()V	830	0
org.apache.maven.project.PomConstructionTest::testErroneousJoiningOfDifferentPluginsWithEqualDependencies()V	832	0
org.apache.maven.project.PomConstructionTest::testErroneousJoiningOfDifferentPluginsWithEqualExecutionIds()V	832	0
org.apache.maven.project.PomConstructionTest::testExecutionConfiguration()V	832	0
org.apache.maven.project.PomConstructionTest::testSingleConfigurationInheritance()V	832	0
org.apache.maven.project.PomConstructionTest::testConfigWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testExecutionConfigurationSubcollections()V	831	0
org.apache.maven.project.PomConstructionTest::testMultipleRepositories()V	831	0
org.apache.maven.project.PomConstructionTest::testMultipleExecutionIds()V	831	0
org.apache.maven.project.PomConstructionTest::testConsecutiveEmptyElements()V	823	0
org.apache.maven.project.PomConstructionTest::testOrderOfGoalsFromPluginExecutionWithoutPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOrderOfGoalsFromPluginExecutionWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOrderOfPluginExecutionsWithoutPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOrderOfPluginExecutionsWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testMergeOfPluginExecutionsWhenChildInheritsPluginVersion()V	831	0
org.apache.maven.project.PomConstructionTest::testMergeOfPluginExecutionsWhenChildAndParentUseDifferentPluginVersions()V	831	0
org.apache.maven.project.PomConstructionTest::testInterpolationWithXmlMarkup()V	830	0
org.apache.maven.project.PomConstructionTest::testOrderOfMergedPluginExecutionsWithoutPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOrderOfMergedPluginExecutionsWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testDifferentContainersWithSameId()V	831	0
org.apache.maven.project.PomConstructionTest::testOrderOfMergedPluginExecutionGoalsWithoutPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOrderOfMergedPluginExecutionGoalsWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOverridingOfInheritedPluginExecutionsWithoutPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOverridingOfInheritedPluginExecutionsWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testOrderOfMergedPluginDependenciesWithoutPluginManagement()V	835	0
org.apache.maven.project.PomConstructionTest::testOrderOfMergedPluginDependenciesWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testInterpolationOfNestedBuildDirectories()V	831	0
org.apache.maven.project.PomConstructionTest::testAppendArtifactIdOfChildToInheritedUrls()V	830	0
org.apache.maven.project.PomConstructionTest::testAppendArtifactIdOfParentAndChildToInheritedUrls()V	830	0
org.apache.maven.project.PomConstructionTest::testNonInheritedElementsInSubtreesOverriddenByChild()V	832	0
org.apache.maven.project.PomConstructionTest::testXmlTextCoalescing()V	1121	1
org.apache.maven.project.PomConstructionTest::testFullInterpolationOfNestedExpressions()V	830	0
org.apache.maven.project.PomConstructionTest::testInterpolationOfLegacyExpressionsThatDontIncludeTheProjectPrefix()V	839	0
org.apache.maven.project.PomConstructionTest::testInterpolationWithBasedirAlignedDirectories()V	831	0
org.apache.maven.project.PomConstructionTest::testInterpolationOfBasedirInPomWithUnusualName()V	831	0
org.apache.maven.project.PomConstructionTest::testJoiningOfContainersWhenChildHasEmptyElements()V	827	0
org.apache.maven.project.PomConstructionTest::testOrderOfPluginConfigurationElementsWithoutPluginManagement()V	830	0
org.apache.maven.project.PomConstructionTest::testOrderOfPluginConfigurationElementsWithPluginManagement()V	830	0
org.apache.maven.project.PomConstructionTest::testOrderOfPluginExecutionConfigurationElementsWithoutPluginManagement()V	830	0
org.apache.maven.project.PomConstructionTest::testOrderOfPluginExecutionConfigurationElementsWithPluginManagement()V	830	0
org.apache.maven.project.PomConstructionTest::testMergeOfInheritedPluginConfiguration()V	830	0
org.apache.maven.project.PomConstructionTest::testAppendOfInheritedPluginConfigurationWithNoProfile()V	831	0
org.apache.maven.project.PomConstructionTest::testAppendOfInheritedPluginConfigurationWithActiveProfile()V	831	0
org.apache.maven.project.PomConstructionTest::testAppendOfInheritedPluginConfiguration(Ljava/lang/String;)V	830	0
org.apache.maven.project.PomConstructionTest::testMultiplePluginExecutionsWithAndWithoutIdsWithoutPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testMultiplePluginExecutionsWithAndWithoutIdsWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testDependencyOrderWithoutPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testDependencyOrderWithPluginManagement()V	832	0
org.apache.maven.project.PomConstructionTest::testBuildDirectoriesUsePlatformSpecificFileSeparator()V	828	0
org.apache.maven.project.PomConstructionTest::testMergedFilterOrder()V	839	0
org.apache.maven.project.PomConstructionTest::testProfileInjectedDependencies()V	832	0
org.apache.maven.project.PomConstructionTest::testProfileDependenciesMultipleProfiles()V	831	0
org.apache.maven.project.PomConstructionTest::testDependencyInheritance()V	832	0
org.apache.maven.project.PomConstructionTest::testManagedProfileDependency()V	832	0
org.apache.maven.project.PomConstructionTest::testProfileModuleInheritance()V	831	0
org.apache.maven.project.PomConstructionTest::testUncPath()V	830	0
org.apache.maven.project.PomConstructionTest::testUrlAppendWithChildPathAdjustment()V	830	0
org.apache.maven.project.PomConstructionTest::testRepoInheritance()V	832	0
org.apache.maven.project.PomConstructionTest::testEmptyScm()V	829	0
org.apache.maven.project.PomConstructionTest::testPluginConfigurationUsingAttributesWithoutPluginManagement()V	830	0
org.apache.maven.project.PomConstructionTest::testPluginConfigurationUsingAttributesWithPluginManagement()V	830	0
org.apache.maven.project.PomConstructionTest::testPluginConfigurationUsingAttributesWithPluginManagementAndProfile()V	830	0
org.apache.maven.project.PomConstructionTest::testPomEncoding()V	830	0
org.apache.maven.project.PomConstructionTest::testXmlWhitespaceHandling()V	830	0
org.apache.maven.project.PomConstructionTest::testInterpolationOfBaseUri()V	834	0
org.apache.maven.project.PomConstructionTest::testInterpolationOfRfc3986BaseUri()V	913	0
org.apache.maven.project.PomConstructionTest::testReportingPluginConfig()V	832	0
org.apache.maven.project.PomConstructionTest::testPropertiesNoDuplication()V	833	0
org.apache.maven.project.PomConstructionTest::testPomInheritance()V	830	0
org.apache.maven.project.PomConstructionTest::testCompleteModelWithoutParent()V	836	0
org.apache.maven.project.PomConstructionTest::testCompleteModelWithParent()V	836	0
org.apache.maven.project.PomConstructionTest::testCompleteModel(Lorg/apache/maven/project/harness/PomTestWrapper;)V	43	0
org.apache.maven.project.PomConstructionTest::testProfileInjectionOrder()V	830	0
org.apache.maven.project.PomConstructionTest::testPropertiesInheritance()V	830	0
org.apache.maven.project.PomConstructionTest::testInheritedPropertiesInterpolatedWithValuesFromChildWithoutProfiles()V	830	0
org.apache.maven.project.PomConstructionTest::testInheritedPropertiesInterpolatedWithValuesFromChildWithActiveProfiles()V	834	0
org.apache.maven.project.PomConstructionTest::testProfileDefaultActivation()V	834	0
org.apache.maven.project.PomConstructionTest::testBooleanInterpolation()V	830	0
org.apache.maven.project.PomConstructionTest::testBuildExtensionInheritance()V	832	0
org.apache.maven.project.PomConstructionTest::testJdkActivation()V	833	0
org.apache.maven.project.PomConstructionTest::testProfilePluginMngDependencies()V	830	0
org.apache.maven.project.PomConstructionTest::testPercentEncodedUrlsMustNotBeDecoded()V	830	0
org.apache.maven.project.PomConstructionTest::testPluginManagementInheritance()V	830	0
org.apache.maven.project.PomConstructionTest::testProfilePlugins()V	832	0
org.apache.maven.project.PomConstructionTest::testPluginInheritanceSimple()V	831	0
org.apache.maven.project.PomConstructionTest::testPluginManagementDuplicate()V	831	0
org.apache.maven.project.PomConstructionTest::testDistributionManagement()V	830	0
org.apache.maven.project.PomConstructionTest::testDependencyScopeInheritance()V	827	0
org.apache.maven.project.PomConstructionTest::testDependencyScope()V	823	0
org.apache.maven.project.PomConstructionTest::testDependencyManagementWithInterpolation()V	823	0
org.apache.maven.project.PomConstructionTest::testInterpolationWithSystemProperty()V	830	0
org.apache.maven.project.PomConstructionTest::testPluginExecutionInheritanceWhenChildDoesNotDeclarePlugin()V	834	0
org.apache.maven.project.PomConstructionTest::testPluginExecutionInheritanceWhenChildDoesDeclarePluginAsWell()V	834	0
org.apache.maven.project.PomConstructionTest::testValidationErrorUponNonUniqueArtifactRepositoryId()V	824	0
org.apache.maven.project.PomConstructionTest::testValidationErrorUponNonUniquePluginRepositoryId()V	824	0
org.apache.maven.project.PomConstructionTest::testValidationErrorUponNonUniqueArtifactRepositoryIdInProfile()V	824	0
org.apache.maven.project.PomConstructionTest::testValidationErrorUponNonUniquePluginRepositoryIdInProfile()V	824	0
org.apache.maven.project.PomConstructionTest::testPrerequisitesAreNotInherited()V	829	0
org.apache.maven.project.PomConstructionTest::testLicensesAreInheritedButNotAggregated()V	832	0
org.apache.maven.project.PomConstructionTest::testDevelopersAreInheritedButNotAggregated()V	832	0
org.apache.maven.project.PomConstructionTest::testContributorsAreInheritedButNotAggregated()V	832	0
org.apache.maven.project.PomConstructionTest::testMailingListsAreInheritedButNotAggregated()V	832	0
org.apache.maven.project.PomConstructionTest::testPluginInheritanceOrder()V	830	0
org.apache.maven.project.PomConstructionTest::testCliPropsDominateProjectPropsDuringInterpolation()V	830	0
