Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNumberPrimitive()V	1304	1241
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNumberUsingJavaTypeFloatPrimitive()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNumberUsingJavaTypeFloat()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNumberUsingJavaTypeDoublePrimitive()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNumberUsingJavaTypeDouble()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNumberUsingJavaTypeBigDecimal()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesBoolean()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesBooleanPrimitive()V	1304	1240
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesAnyAsObject()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyGeneratesNullAsObject()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyChoosesObjectOnUnrecognizedType()V	1269	1239
org.jsonschema2pojo.rules.TypeRuleTest::applyDefaultsToTypeAnyObject()V	1261	1239
org.jsonschema2pojo.rules.PropertyRuleTest::setup()V	70	2
org.jsonschema2pojo.rules.PropertyRuleTest::applyRequiredByTopArray()V	1582	0
org.jsonschema2pojo.rules.PropertyRuleTest::applyNotRequiredByTopArray()V	1582	0
org.jsonschema2pojo.rules.PropertyRuleTest::applyRequiredByFlag()V	1574	0
org.jsonschema2pojo.rules.PropertyRuleTest::applyNotRequiredByFlag()V	1574	0
org.jsonschema2pojo.rules.FormatRuleArraysTest::useArraysWithCustomTypeMapping()V	114	102
org.jsonschema2pojo.rules.DynamicPropertiesRuleTest::setUp()V	580	0
org.jsonschema2pojo.rules.DynamicPropertiesRuleTest::shouldAddNotFoundField()V	498	0
org.jsonschema2pojo.rules.DigitsRuleTest::setUp()V	30	0
org.jsonschema2pojo.rules.DigitsRuleTest::testHasIntegerAndFractionalDigits()V	550	26
org.jsonschema2pojo.rules.DigitsRuleTest::testNotUsed()V	550	13
org.jsonschema2pojo.rules.DigitsRuleTest::jsrDisable()V	549	8
org.jsonschema2pojo.rules.EnumRuleTest::wireUpConfig()V	71	4
org.jsonschema2pojo.rules.PatternRuleTest::setUp()V	30	0
org.jsonschema2pojo.rules.PatternRuleTest::testRegex()V	540	7
org.jsonschema2pojo.rules.PatternRuleTest::jsrDisable()V	544	5
org.jsonschema2pojo.SchemaMapperTest::generateReadsSchemaAsObject()V	1496	1284
org.jsonschema2pojo.SchemaMapperTest::generateCreatesSchemaFromSchemaAsStringInput()V	1535	1284
org.jsonschema2pojo.ContentResolverNetworkTest::before()V	3	0
org.jsonschema2pojo.ContentResolverNetworkTest::after()V	3	0
org.jsonschema2pojo.ContentResolverNetworkTest::brokenLinkCausesIllegalArgumentException()V	1170	0
org.jsonschema2pojo.ContentResolverNetworkTest::serverErrorCausesIllegalArgumentException()V	1170	0
org.jsonschema2pojo.ContentResolverNetworkTest::httpLinkIsResolvedToContent()V	1182	2
