Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
br.com.caelum.vraptor.proxy.JavassistProxifierTest::shouldNotProxifyJavaLangObjectMethods()V	6	1
br.com.caelum.vraptor.proxy.JavassistProxifierTest::testIfObjectIsProxy()V	35	4
br.com.caelum.vraptor.proxy.JavassistProxifierTest::shouldThrowProxyInvocationExceptionIfAnErrorOccurs()V	3	1
br.com.caelum.vraptor.proxy.CglibProxifierTest::setUp()V	1	0
br.com.caelum.vraptor.proxy.CglibProxifierTest::shouldProxifyInterfaces()V	34	1
br.com.caelum.vraptor.proxy.CglibProxifierTest::shouldProxifyConcreteClassesWithDefaultConstructors()V	34	1
br.com.caelum.vraptor.proxy.CglibProxifierTest::shouldProxifyConcreteClassesWithComplexConstructorsAndPassNullForAllParameters()V	33	1
br.com.caelum.vraptor.proxy.CglibProxifierTest::shouldNeverCallSuperclassConstructors()V	37	1
br.com.caelum.vraptor.proxy.CglibProxifierTest::shouldNotProxifyJavaLangObjectMethods()V	6	1
br.com.caelum.vraptor.proxy.CglibProxifierTest::testIfObjectIsProxy()V	35	4
br.com.caelum.vraptor.proxy.CglibProxifierTest::shouldThrowProxyInvocationExceptionIfAnErrorOccurs()V	3	1
br.com.caelum.vraptor.proxy.ReflectionInstanceCreatorTest::setUp()V	1	0
br.com.caelum.vraptor.proxy.ReflectionInstanceCreatorTest::shouldProxifyInterfaces()V	6	1
br.com.caelum.vraptor.proxy.ReflectionInstanceCreatorTest::shouldProxifyConcreteClassesWithDefaultConstructors()V	6	1
br.com.caelum.vraptor.proxy.ReflectionInstanceCreatorTest::shouldProxifyConcreteClassesWithComplexConstructorsAndPassNullForAllParameters()V	35	1
br.com.caelum.vraptor.proxy.ReflectionInstanceCreatorTest::shouldTryAllConstructorsInDeclarationOrder()V	36	1
br.com.caelum.vraptor.proxy.ReflectionInstanceCreatorTest::shouldNotProxifyJavaLangObjectMethods()V	6	1
br.com.caelum.vraptor.converter.jodatime.LocaleBasedJodaTimeConverterTest::setup()V	738	0
br.com.caelum.vraptor.converter.jodatime.LocaleBasedJodaTimeConverterTest::shouldUseTheDefaultLocale()V	58	3
br.com.caelum.vraptor.converter.jodatime.LocaleBasedJodaTimeConverterTest::shouldUseTheDefaulJvmtLocale()V	58	3
br.com.caelum.vraptor.converter.jodatime.DateTimeConverterTest::setup()V	1300	0
br.com.caelum.vraptor.converter.jodatime.DateTimeConverterTest::shouldBeAbleToConvert()V	149	0
br.com.caelum.vraptor.converter.jodatime.DateTimeConverterTest::shouldBeAbleToConvertEmpty()V	132	0
br.com.caelum.vraptor.converter.jodatime.DateTimeConverterTest::shouldBeAbleToConvertNull()V	132	0
br.com.caelum.vraptor.converter.jodatime.DateTimeConverterTest::shouldThrowExceptionWhenUnableToParse()V	150	0
br.com.caelum.vraptor.converter.jodatime.LocalDateTimeConverterTest::setup()V	1300	0
br.com.caelum.vraptor.converter.jodatime.LocalDateTimeConverterTest::shouldBeAbleToConvert()V	151	0
br.com.caelum.vraptor.converter.jodatime.LocalDateTimeConverterTest::shouldBeAbleToConvertEmpty()V	134	0
br.com.caelum.vraptor.converter.jodatime.LocalDateTimeConverterTest::shouldBeAbleToConvertNull()V	134	0
br.com.caelum.vraptor.converter.jodatime.LocalDateTimeConverterTest::shouldThrowExceptionWhenUnableToParse()V	152	0
br.com.caelum.vraptor.converter.jodatime.LocalDateConverterTest::setup()V	1300	0
br.com.caelum.vraptor.converter.jodatime.LocalDateConverterTest::shouldBeAbleToConvert()V	151	0
br.com.caelum.vraptor.converter.jodatime.LocalDateConverterTest::shouldBeAbleToConvertEmpty()V	134	0
br.com.caelum.vraptor.converter.jodatime.LocalDateConverterTest::shouldBeAbleToConvertNull()V	134	0
br.com.caelum.vraptor.converter.jodatime.LocalDateConverterTest::shouldThrowExceptionWhenUnableToParse()V	152	0
br.com.caelum.vraptor.converter.jodatime.DateMidnightConverterTest::setup()V	1300	0
br.com.caelum.vraptor.converter.jodatime.DateMidnightConverterTest::shouldBeAbleToConvert()V	151	0
br.com.caelum.vraptor.converter.jodatime.DateMidnightConverterTest::shouldBeAbleToConvertEmpty()V	134	0
br.com.caelum.vraptor.converter.jodatime.DateMidnightConverterTest::shouldBeAbleToConvertNull()V	134	0
br.com.caelum.vraptor.converter.jodatime.DateMidnightConverterTest::shouldThrowExceptionWhenUnableToParse()V	152	0
br.com.caelum.vraptor.converter.jodatime.LocalTimeConverterTest::setup()V	1300	0
br.com.caelum.vraptor.converter.jodatime.LocalTimeConverterTest::shouldBeAbleToConvert()V	151	0
br.com.caelum.vraptor.converter.jodatime.LocalTimeConverterTest::shouldBeAbleToConvertEmpty()V	134	0
br.com.caelum.vraptor.converter.jodatime.LocalTimeConverterTest::shouldBeAbleToConvertNull()V	134	0
br.com.caelum.vraptor.converter.jodatime.LocalTimeConverterTest::shouldThrowExceptionWhenUnableToParse()V	152	0
br.com.caelum.vraptor.converter.LocaleBasedCalendarConverterTest::setup()V	1302	0
br.com.caelum.vraptor.converter.LocaleBasedCalendarConverterTest::shouldBeAbleToConvert()V	683	0
br.com.caelum.vraptor.converter.LocaleBasedCalendarConverterTest::shouldUseTheDefaultLocale()V	707	3
