Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.commons.collections4.AbstractObjectTest::testObjectEqualsSelf()V	2	0
org.apache.commons.collections4.AbstractObjectTest::testEqualsNull()V	3	1
org.apache.commons.collections4.AbstractObjectTest::testObjectHashCodeEqualsSelfHashCode()V	3	0
org.apache.commons.collections4.AbstractObjectTest::testObjectHashCodeEqualsContract()V	4	3
org.apache.commons.collections4.AbstractObjectTest::testSerializeDeserializeThenCompare()V	1101	0
org.apache.commons.collections4.AbstractObjectTest::testSimpleSerialization()V	1094	0
org.apache.commons.collections4.AbstractObjectTest::testCanonicalEmptyCollectionExists()V	425	0
org.apache.commons.collections4.AbstractObjectTest::testCanonicalFullCollectionExists()V	425	0
org.apache.commons.collections4.TrieUtilsTest::testUnmodifiableTrie()V	31	0
org.apache.commons.collections4.IteratorUtilsTest::setUp()V	4	0
org.apache.commons.collections4.IteratorUtilsTest::testArrayIterator()V	15	10
org.apache.commons.collections4.IteratorUtilsTest::testArrayListIterator()V	18	18
org.apache.commons.collections4.IteratorUtilsTest::testAsIterable()V	46	5
org.apache.commons.collections4.IteratorUtilsTest::testAsIterableNull()V	3	0
org.apache.commons.collections4.IteratorUtilsTest::testAsMultipleIterable()V	45	6
org.apache.commons.collections4.IteratorUtilsTest::testAsMultipleIterableNull()V	3	0
org.apache.commons.collections4.IteratorUtilsTest::testCollatedIterator()V	102	0
org.apache.commons.collections4.IteratorUtilsTest::testEmptyIterator()V	45	0
org.apache.commons.collections4.IteratorUtilsTest::testEmptyListIterator()V	53	0
org.apache.commons.collections4.IteratorUtilsTest::testEmptyMapIterator()V	48	0
org.apache.commons.collections4.IteratorUtilsTest::testEmptyOrderedIterator()V	47	0
org.apache.commons.collections4.IteratorUtilsTest::testEmptyOrderedMapIterator()V	50	0
org.apache.commons.collections4.IteratorUtilsTest::testFind()V	16	3
org.apache.commons.collections4.IteratorUtilsTest::testFirstFromIterator()V	46	1
org.apache.commons.collections4.IteratorUtilsTest::testForEach()V	18	3
org.apache.commons.collections4.IteratorUtilsTest::testForEachButLast()V	47	4
org.apache.commons.collections4.IteratorUtilsTest::testGetAtIndexFromIterator()V	47	3
org.apache.commons.collections4.IteratorUtilsTest::testGetIterator()V	509	1
org.apache.commons.collections4.IteratorUtilsTest::testIndexOf()V	43	3
org.apache.commons.collections4.IteratorUtilsTest::testNodeIterator()V	133	6
org.apache.commons.collections4.IteratorUtilsTest::testNodeListIterator()V	121	5
org.apache.commons.collections4.IteratorUtilsTest::testToArray()V	42	0
org.apache.commons.collections4.IteratorUtilsTest::testToArray2()V	44	0
org.apache.commons.collections4.IteratorUtilsTest::testToList()V	40	0
org.apache.commons.collections4.IteratorUtilsTest::testToListIterator()V	42	0
org.apache.commons.collections4.IteratorUtilsTest::testToListIteratorNull()V	3	0
org.apache.commons.collections4.IteratorUtilsTest::testUnmodifiableIteratorImmutability()V	9	1
org.apache.commons.collections4.IteratorUtilsTest::testUnmodifiableIteratorIteration()V	42	9
org.apache.commons.collections4.IteratorUtilsTest::testUnmodifiableListIteratorImmutability()V	11	0
org.apache.commons.collections4.IteratorUtilsTest::testUnmodifiableListIteratorIteration()V	44	0
org.apache.commons.collections4.functors.NullPredicateTest::testNullPredicate()V	30	0
org.apache.commons.collections4.functors.NullPredicateTest::ensurePredicateCanBeTypedWithoutWarning()V	2	0
org.apache.commons.collections4.functors.AllPredicateTest::emptyArrayToGetInstance()V	27	1
org.apache.commons.collections4.functors.AllPredicateTest::emptyCollectionToGetInstance()V	30	1
org.apache.commons.collections4.functors.AllPredicateTest::oneTruePredicate()V	27	1
org.apache.commons.collections4.functors.AllPredicateTest::oneFalsePredicate()V	28	1
org.apache.commons.collections4.functors.AllPredicateTest::allTrue()V	5	2
org.apache.commons.collections4.functors.AllPredicateTest::trueAndFalseCombined()V	6	5
org.apache.commons.collections4.functors.AbstractCompositePredicateTest::nullArrayToGetInstance()V	2	0
org.apache.commons.collections4.functors.AbstractCompositePredicateTest::nullElementInArrayToGetInstance()V	2	0
org.apache.commons.collections4.functors.AbstractCompositePredicateTest::nullElementsInArrayToGetInstance()V	2	0
org.apache.commons.collections4.functors.AbstractCompositePredicateTest::nullCollectionToGetInstance()V	2	0
org.apache.commons.collections4.functors.AbstractCompositePredicateTest::nullElementsInCollectionToGetInstance()V	3	2
org.apache.commons.collections4.functors.AbstractPredicateTest::initialiseTestObjects()V	2	0
org.apache.commons.collections4.functors.AbstractPredicateTest::predicateSanityTests()V	6	0
org.apache.commons.collections4.functors.ComparatorPredicateTest::compareEquals()V	13	0
org.apache.commons.collections4.functors.ComparatorPredicateTest::compareGreater()V	12	0
org.apache.commons.collections4.functors.ComparatorPredicateTest::compareLess()V	12	0
